date,day,deaths,province_state,country,lat,long
2020-01-22,0,0,,Afghanistan,33.0,65.0
2020-01-22,0,0,,Albania,41.1533,20.1683
2020-01-22,0,0,,Algeria,28.0339,1.6596
2020-01-22,0,0,,Andorra,42.5063,1.5218
2020-01-22,0,0,,Angola,-11.2027,17.8739
2020-01-22,0,0,,Antigua and Barbuda,17.0608,-61.7964
2020-01-22,0,0,,Argentina,-38.4161,-63.6167
2020-01-22,0,0,,Armenia,40.0691,45.0382
2020-01-22,0,0,Australian Capital Territory,Australia,-35.4735,149.0124
2020-01-22,0,0,New South Wales,Australia,-33.8688,151.2093
2020-01-22,0,0,Northern Territory,Australia,-12.4634,130.8456
2020-01-22,0,0,Queensland,Australia,-28.0167,153.4
2020-01-22,0,0,South Australia,Australia,-34.9285,138.6007
2020-01-22,0,0,Tasmania,Australia,-41.4545,145.9707
2020-01-22,0,0,Victoria,Australia,-37.8136,144.9631
2020-01-22,0,0,Western Australia,Australia,-31.9505,115.8605
2020-01-22,0,0,,Austria,47.5162,14.5501
2020-01-22,0,0,,Azerbaijan,40.1431,47.5769
2020-01-22,0,0,,Bahamas,25.0343,-77.3963
2020-01-22,0,0,,Bahrain,26.0275,50.55
2020-01-22,0,0,,Bangladesh,23.685,90.3563
2020-01-22,0,0,,Barbados,13.1939,-59.5432
2020-01-22,0,0,,Belarus,53.7098,27.9534
2020-01-22,0,0,,Belgium,50.8333,4.0
2020-01-22,0,0,,Benin,9.3077,2.3158
2020-01-22,0,0,,Bhutan,27.5142,90.4336
2020-01-22,0,0,,Bolivia,-16.2902,-63.5887
2020-01-22,0,0,,Bosnia and Herzegovina,43.9159,17.6791
2020-01-22,0,0,,Brazil,-14.235,-51.9253
2020-01-22,0,0,,Brunei,4.5353,114.7277
2020-01-22,0,0,,Bulgaria,42.7339,25.4858
2020-01-22,0,0,,Burkina Faso,12.2383,-1.5616
2020-01-22,0,0,,Cabo Verde,16.5388,-23.0418
2020-01-22,0,0,,Cambodia,11.55,104.9167
2020-01-22,0,0,,Cameroon,3.848,11.5021
2020-01-22,0,0,Alberta,Canada,53.9333,-116.5765
2020-01-22,0,0,British Columbia,Canada,49.2827,-123.1207
2020-01-22,0,0,Grand Princess,Canada,37.6489,-122.6655
2020-01-22,0,0,Manitoba,Canada,53.7609,-98.8139
2020-01-22,0,0,New Brunswick,Canada,46.5653,-66.4619
2020-01-22,0,0,Newfoundland and Labrador,Canada,53.1355,-57.6604
2020-01-22,0,0,Nova Scotia,Canada,44.682,-63.7443
2020-01-22,0,0,Ontario,Canada,51.2538,-85.3232
2020-01-22,0,0,Prince Edward Island,Canada,46.5107,-63.4168
2020-01-22,0,0,Quebec,Canada,52.9399,-73.5491
2020-01-22,0,0,Saskatchewan,Canada,52.9399,-106.4509
2020-01-22,0,0,,Central African Republic,6.6111,20.9394
2020-01-22,0,0,,Chad,15.4542,18.7322
2020-01-22,0,0,,Chile,-35.6751,-71.543
2020-01-22,0,0,Anhui,China,31.8257,117.2264
2020-01-22,0,0,Beijing,China,40.1824,116.4142
2020-01-22,0,0,Chongqing,China,30.0572,107.874
2020-01-22,0,0,Fujian,China,26.0789,117.9874
2020-01-22,0,0,Gansu,China,37.8099,101.0583
2020-01-22,0,0,Guangdong,China,23.3417,113.4244
2020-01-22,0,0,Guangxi,China,23.8298,108.7881
2020-01-22,0,0,Guizhou,China,26.8154,106.8748
2020-01-22,0,0,Hainan,China,19.1959,109.7453
2020-01-22,0,0,Hebei,China,39.549,116.1306
2020-01-22,0,0,Heilongjiang,China,47.862,127.7615
2020-01-22,0,0,Henan,China,33.882,113.614
2020-01-22,0,0,Hong Kong,China,22.3,114.2
2020-01-22,0,17,Hubei,China,30.9756,112.2707
2020-01-22,0,0,Hunan,China,27.6104,111.7088
2020-01-22,0,0,Inner Mongolia,China,44.0935,113.9448
2020-01-22,0,0,Jiangsu,China,32.9711,119.455
2020-01-22,0,0,Jiangxi,China,27.614,115.7221
2020-01-22,0,0,Jilin,China,43.6661,126.1923
2020-01-22,0,0,Liaoning,China,41.2956,122.6085
2020-01-22,0,0,Macau,China,22.1667,113.55
2020-01-22,0,0,Ningxia,China,37.2692,106.1655
2020-01-22,0,0,Qinghai,China,35.7452,95.9956
2020-01-22,0,0,Shaanxi,China,35.1917,108.8701
2020-01-22,0,0,Shandong,China,36.3427,118.1498
2020-01-22,0,0,Shanghai,China,31.202,121.4491
2020-01-22,0,0,Shanxi,China,37.5777,112.2922
2020-01-22,0,0,Sichuan,China,30.6171,102.7103
2020-01-22,0,0,Tianjin,China,39.3054,117.323
2020-01-22,0,0,Tibet,China,31.6927,88.0924
2020-01-22,0,0,Xinjiang,China,41.1129,85.2401
2020-01-22,0,0,Yunnan,China,24.974,101.487
2020-01-22,0,0,Zhejiang,China,29.1832,120.0934
2020-01-22,0,0,,Colombia,4.5709,-74.2973
2020-01-22,0,0,,Congo (Brazzaville),-4.0383,21.7587
2020-01-22,0,0,,Congo (Kinshasa),-4.0383,21.7587
